game_id,season,home_team,away_team,first_td_team,winner,first_td_team_won,favored_team,favored_team_prob,home_moneyline,away_moneyline,home_prob,away_prob,spread_line,opening_possession_team,home_got_ball_first,away_got_ball_first,home_scored_first_td,away_scored_first_td,is_pickem,spread_abs,favorite_won,opening_possession_scored_first,opening_possession_won
2020_04_CLE_DAL,2020,DAL,CLE,CLE,CLE,1,DAL,0.6363636363636364,-175.0,157.0,0.6363636363636364,0.3891050583657587,3.5,DAL,1,0,0,1,0,3.5,0,0,0
2020_04_DEN_NYJ,2020,NYJ,DEN,NYJ,DEN,0,NYJ,0.5327102803738317,-114.0,104.0,0.5327102803738317,0.4901960784313725,1.0,NYJ,1,0,1,0,1,1.0,0,1,0
2020_04_IND_CHI,2020,CHI,IND,IND,IND,1,IND,0.635036496350365,156.0,-174.0,0.390625,0.635036496350365,-3.5,CHI,1,0,0,1,0,3.5,1,0,0
2020_04_JAX_CIN,2020,CIN,JAX,JAX,CIN,0,CIN,0.5283018867924528,-112.0,101.0,0.5283018867924528,0.4975124378109453,1.0,JAX,0,1,0,1,1,1.0,1,1,0
2020_04_LAC_TB,2020,TB,LAC,TB,TB,1,TB,0.7679814385150812,-331.0,282.0,0.7679814385150812,0.2617801047120419,7.5,TB,1,0,1,0,0,7.5,1,1,1
2020_04_MIN_HOU,2020,HOU,MIN,MIN,MIN,1,HOU,0.6323529411764706,-172.0,154.0,0.6323529411764706,0.3937007874015748,3.5,HOU,1,0,0,1,0,3.5,0,0,0
2020_04_NE_KC,2020,KC,NE,KC,KC,1,KC,0.7493734335839599,-299.0,257.0,0.7493734335839599,0.2801120448179272,7.0,KC,1,0,1,0,0,7.0,1,1,1
2020_04_NO_DET,2020,DET,NO,DET,NO,0,NO,0.6078431372549019,139.0,-155.0,0.4184100418410041,0.6078431372549019,-3.0,DET,1,0,1,0,0,3.0,1,1,0
2020_04_NYG_LA,2020,LA,NYG,LA,LA,1,LA,0.898989898989899,-890.0,652.0,0.898989898989899,0.1329787234042553,13.5,NYG,0,1,1,0,0,13.5,1,0,0
2020_04_PHI_SF,2020,SF,PHI,PHI,PHI,1,SF,0.7619047619047619,-320.0,273.0,0.7619047619047619,0.2680965147453083,8.5,PHI,0,1,0,1,0,8.5,0,1,1
2020_04_SEA_MIA,2020,MIA,SEA,SEA,SEA,1,SEA,0.6904024767801857,196.0,-223.0,0.3378378378378378,0.6904024767801857,-4.5,MIA,1,0,0,1,0,4.5,1,0,0
2020_05_ARI_NYJ,2020,NYJ,ARI,ARI,ARI,1,ARI,0.7468354430379747,254.0,-295.0,0.2824858757062147,0.7468354430379747,-7.0,NYJ,1,0,0,1,0,7.0,1,0,0
2020_05_BUF_TEN,2020,TEN,BUF,TEN,TEN,1,BUF,0.6268656716417911,150.0,-168.0,0.4,0.6268656716417911,-3.0,BUF,0,1,1,0,0,3.0,0,0,0
2020_05_CAR_ATL,2020,ATL,CAR,ATL,CAR,0,ATL,0.5815899581589958,-139.0,125.0,0.5815899581589958,0.4444444444444444,2.5,CAR,0,1,1,0,0,2.5,0,0,1
2020_05_CIN_BAL,2020,BAL,CIN,BAL,BAL,1,BAL,0.8777506112469438,-718.0,547.0,0.8777506112469438,0.1545595054095827,12.5,CIN,0,1,1,0,0,12.5,1,0,0
2020_05_IND_CLE,2020,CLE,IND,IND,CLE,0,CLE,0.5238095238095238,-110.0,-101.0,0.5238095238095238,0.5024875621890548,1.0,CLE,1,0,0,1,1,1.0,1,0,1
2020_05_JAX_HOU,2020,HOU,JAX,JAX,HOU,0,HOU,0.7375328083989501,-281.0,243.0,0.7375328083989501,0.2915451895043732,6.5,JAX,0,1,0,1,0,6.5,1,1,0
2020_05_LAC_NO,2020,NO,LAC,LAC,NO,0,NO,0.7722095671981777,-339.0,288.0,0.7722095671981777,0.2577319587628865,7.0,LAC,0,1,0,1,0,7.0,1,1,0
2020_05_LA_WAS,2020,WAS,LA,LA,LA,1,LA,0.7530864197530864,262.0,-305.0,0.2762430939226519,0.7530864197530864,-7.0,WAS,1,0,0,1,0,7.0,1,0,0
2020_05_LV_KC,2020,KC,LV,KC,LV,0,KC,0.8263888888888888,-476.0,387.0,0.8263888888888888,0.2053388090349076,11.0,KC,1,0,1,0,0,11.0,0,1,0
2020_05_MIA_SF,2020,SF,MIA,MIA,MIA,1,SF,0.7811816192560175,-357.0,301.0,0.7811816192560175,0.2493765586034912,8.5,SF,1,0,0,1,0,8.5,0,0,0
2020_05_MIN_SEA,2020,SEA,MIN,MIN,SEA,0,SEA,0.7395833333333334,-284.0,245.0,0.7395833333333334,0.2898550724637681,6.5,MIN,0,1,0,1,0,6.5,1,1,0
2020_05_NYG_DAL,2020,DAL,NYG,NYG,DAL,0,DAL,0.7762863534675615,-347.0,293.0,0.7762863534675615,0.2544529262086514,7.5,DAL,1,0,0,1,0,7.5,1,0,1
2020_05_PHI_PIT,2020,PIT,PHI,PIT,PIT,1,PIT,0.788135593220339,-372.0,312.0,0.788135593220339,0.2427184466019417,7.5,PHI,0,1,1,0,0,7.5,1,0,0
2020_05_TB_CHI,2020,CHI,TB,TB,CHI,0,TB,0.647887323943662,164.0,-184.0,0.3787878787878788,0.647887323943662,-3.5,TB,0,1,0,1,0,3.5,0,1,0
2020_06_ARI_DAL,2020,DAL,ARI,ARI,ARI,1,DAL,0.5327102803738317,-114.0,103.0,0.5327102803738317,0.4926108374384236,1.0,ARI,0,1,0,1,1,1.0,0,1,1
2020_06_ATL_MIN,2020,MIN,ATL,ATL,ATL,1,MIN,0.6527777777777778,-188.0,167.0,0.6527777777777778,0.3745318352059925,3.5,MIN,1,0,0,1,0,3.5,0,0,0
2020_06_BAL_PHI,2020,PHI,BAL,BAL,BAL,1,BAL,0.8084291187739464,348.0,-422.0,0.2232142857142857,0.8084291187739464,-10.5,PHI,1,0,0,1,0,10.5,1,0,0
2020_06_CHI_CAR,2020,CAR,CHI,CHI,CHI,1,CAR,0.5535714285714286,-124.0,112.0,0.5535714285714286,0.4716981132075472,2.0,CAR,1,0,0,1,0,2.0,0,0,0
2020_06_CIN_IND,2020,IND,CIN,CIN,IND,0,IND,0.7727272727272727,-340.0,288.0,0.7727272727272727,0.2577319587628865,7.5,IND,1,0,0,1,0,7.5,1,0,1
2020_06_CLE_PIT,2020,PIT,CLE,PIT,PIT,1,PIT,0.6138996138996139,-159.0,143.0,0.6138996138996139,0.411522633744856,3.0,PIT,1,0,1,0,0,3.0,1,1,1
2020_06_DEN_NE,2020,NE,DEN,NE,DEN,0,NE,0.7663551401869159,-328.0,280.0,0.7663551401869159,0.2631578947368421,7.0,DEN,0,1,1,0,0,7.0,0,0,1
2020_06_DET_JAX,2020,JAX,DET,DET,DET,1,DET,0.6062992125984252,139.0,-154.0,0.4184100418410041,0.6062992125984252,-3.0,JAX,1,0,0,1,0,3.0,1,0,0
2020_06_GB_TB,2020,TB,GB,GB,TB,0,GB,0.5918367346938775,131.0,-145.0,0.4329004329004329,0.5918367346938775,-3.0,GB,0,1,0,1,0,3.0,0,1,0
2020_06_HOU_TEN,2020,TEN,HOU,TEN,TEN,1,TEN,0.6551724137931034,-190.0,169.0,0.6551724137931034,0.3717472118959107,4.0,TEN,1,0,1,0,0,4.0,1,1,1
2020_06_KC_BUF,2020,BUF,KC,KC,KC,1,KC,0.696969696969697,203.0,-230.0,0.33003300330033,0.696969696969697,-5.5,BUF,1,0,0,1,0,5.5,1,0,0
2020_06_LA_SF,2020,SF,LA,SF,SF,1,LA,0.5535714285714286,112.0,-124.0,0.4716981132075472,0.5535714285714286,-2.0,SF,1,0,1,0,1,2.0,0,1,1
2020_06_NYJ_MIA,2020,MIA,NYJ,MIA,MIA,1,MIA,0.803921568627451,-410.0,340.0,0.803921568627451,0.2272727272727272,9.5,NYJ,0,1,1,0,0,9.5,1,0,0
2020_06_WAS_NYG,2020,NYG,WAS,NYG,NYG,1,NYG,0.5614035087719298,-128.0,116.0,0.5614035087719298,0.4629629629629629,2.0,WAS,0,1,1,0,0,2.0,1,0,0
2020_07_BUF_NYJ,2020,NYJ,BUF,NYJ,BUF,0,BUF,0.7963340122199593,327.0,-391.0,0.234192037470726,0.7963340122199593,-9.5,NYJ,1,0,1,0,0,9.5,1,1,0
2020_07_CAR_NO,2020,NO,CAR,NO,NO,1,NO,0.7601918465227818,-317.0,271.0,0.7601918465227818,0.2695417789757412,7.0,NO,1,0,1,0,0,7.0,1,1,1
2020_07_CHI_LA,2020,LA,CHI,LA,LA,1,LA,0.7442455242966752,-291.0,251.0,0.7442455242966752,0.2849002849002849,6.5,CHI,0,1,1,0,0,6.5,1,0,0
2020_07_CLE_CIN,2020,CIN,CLE,CIN,CLE,0,CLE,0.6677740863787376,179.0,-201.0,0.3584229390681003,0.6677740863787376,-4.5,CIN,1,0,1,0,0,4.5,1,1,0
2020_07_DAL_WAS,2020,WAS,DAL,WAS,WAS,1,DAL,0.5238095238095238,100.0,-110.0,0.5,0.5238095238095238,-1.0,WAS,1,0,1,0,1,1.0,0,1,1
2020_07_DET_ATL,2020,ATL,DET,DET,DET,1,ATL,0.5305164319248826,-113.0,102.0,0.5305164319248826,0.495049504950495,1.0,ATL,1,0,0,1,1,1.0,0,0,0
2020_07_GB_HOU,2020,HOU,GB,GB,GB,1,GB,0.5833333333333334,127.0,-140.0,0.4405286343612334,0.5833333333333334,-2.5,GB,0,1,0,1,0,2.5,1,1,1
2020_07_JAX_LAC,2020,LAC,JAX,LAC,LAC,1,LAC,0.7955010224948875,-389.0,325.0,0.7955010224948875,0.2352941176470588,8.0,JAX,0,1,1,0,0,8.0,1,0,0
2020_07_KC_DEN,2020,DEN,KC,KC,KC,1,KC,0.7512437810945274,260.0,-302.0,0.2777777777777778,0.7512437810945274,-7.0,DEN,1,0,0,1,0,7.0,1,0,0
2020_07_NYG_PHI,2020,PHI,NYG,PHI,PHI,1,PHI,0.6904024767801857,-223.0,197.0,0.6904024767801857,0.3367003367003367,5.0,PHI,1,0,1,0,0,5.0,1,1,1
2020_07_PIT_TEN,2020,TEN,PIT,PIT,PIT,1,TEN,0.5327102803738317,-114.0,103.0,0.5327102803738317,0.4926108374384236,1.0,PIT,0,1,0,1,1,1.0,0,1,1
2020_07_SEA_ARI,2020,ARI,SEA,SEA,ARI,0,SEA,0.6503496503496503,166.0,-186.0,0.3759398496240601,0.6503496503496503,-3.5,SEA,0,1,0,1,0,3.5,0,1,0
2020_07_SF_NE,2020,NE,SF,SF,SF,1,NE,0.6254681647940075,-167.0,150.0,0.6254681647940075,0.4,3.0,SF,0,1,0,1,0,3.0,0,1,1
2020_07_TB_LV,2020,LV,TB,LV,TB,0,TB,0.6575342465753424,171.0,-192.0,0.3690036900369003,0.6575342465753424,-3.5,TB,0,1,1,0,0,3.5,1,0,1
2020_08_ATL_CAR,2020,CAR,ATL,CAR,ATL,0,CAR,0.5348837209302325,-115.0,104.0,0.5348837209302325,0.4901960784313725,1.5,ATL,0,1,1,0,1,1.5,0,0,1
2020_08_DAL_PHI,2020,PHI,DAL,PHI,PHI,1,PHI,0.8011928429423459,-403.0,335.0,0.8011928429423459,0.2298850574712643,10.0,DAL,0,1,1,0,0,10.0,1,0,0
2020_08_IND_DET,2020,DET,IND,DET,IND,0,IND,0.6491228070175439,165.0,-185.0,0.3773584905660377,0.6491228070175439,-3.5,IND,0,1,1,0,0,3.5,1,0,1
2020_08_LAC_DEN,2020,DEN,LAC,LAC,DEN,0,LAC,0.5934959349593496,132.0,-146.0,0.4310344827586206,0.5934959349593496,-3.0,DEN,1,0,0,1,0,3.0,0,0,1
2020_08_LA_MIA,2020,MIA,LA,LA,MIA,0,LA,0.6376811594202898,157.0,-176.0,0.3891050583657587,0.6376811594202898,-3.5,LA,0,1,0,1,0,3.5,0,1,0
2020_08_LV_CLE,2020,CLE,LV,LV,LV,1,CLE,0.5652173913043478,-130.0,117.0,0.5652173913043478,0.4608294930875576,1.0,LV,0,1,0,1,0,1.0,0,1,1
2020_08_MIN_GB,2020,GB,MIN,GB,MIN,0,GB,0.7134670487106017,-249.0,218.0,0.7134670487106017,0.3144654088050314,5.5,GB,1,0,1,0,0,5.5,0,1,0
2020_08_NE_BUF,2020,BUF,NE,BUF,BUF,1,BUF,0.6632996632996633,-197.0,175.0,0.6632996632996633,0.3636363636363636,4.0,NE,0,1,1,0,0,4.0,1,0,0
2020_08_NO_CHI,2020,CHI,NO,CHI,NO,0,NO,0.6960486322188449,202.0,-229.0,0.3311258278145695,0.6960486322188449,-5.5,NO,0,1,1,0,0,5.5,1,0,1
2020_08_NYJ_KC,2020,KC,NYJ,KC,KC,1,KC,0.9515738498789348,-1965.0,1204.0,0.9515738498789348,0.0766871165644171,20.0,KC,1,0,1,0,0,20.0,1,1,1
2020_08_PIT_BAL,2020,BAL,PIT,PIT,PIT,1,BAL,0.6666666666666666,-200.0,178.0,0.6666666666666666,0.3597122302158273,4.0,BAL,1,0,0,1,0,4.0,0,0,0
2020_08_SF_SEA,2020,SEA,SF,SEA,SEA,1,SEA,0.5238095238095238,-110.0,-100.0,0.5238095238095238,0.5,1.0,SEA,1,0,1,0,1,1.0,1,1,1
2020_08_TB_NYG,2020,NYG,TB,NYG,TB,0,TB,0.8567335243553008,470.0,-598.0,0.175438596491228,0.8567335243553008,-13.0,TB,0,1,1,0,0,13.0,1,0,1
2020_08_TEN_CIN,2020,CIN,TEN,CIN,CIN,1,TEN,0.7624703087885986,274.0,-321.0,0.267379679144385,0.7624703087885986,-7.5,CIN,1,0,1,0,0,7.5,0,1,1
2020_09_BAL_IND,2020,IND,BAL,IND,BAL,0,BAL,0.5145631067961165,-104.0,-106.0,0.5098039215686274,0.5145631067961165,1.0,IND,1,0,1,0,1,1.0,1,1,0
2020_09_CAR_KC,2020,KC,CAR,CAR,KC,0,KC,0.8165137614678899,-445.0,365.0,0.8165137614678899,0.2150537634408602,10.0,CAR,0,1,0,1,0,10.0,1,1,0
2020_09_CHI_TEN,2020,TEN,CHI,TEN,TEN,1,TEN,0.7368421052631579,-280.0,243.0,0.7368421052631579,0.2915451895043732,6.5,TEN,1,0,1,0,0,6.5,1,1,1
2020_09_DEN_ATL,2020,ATL,DEN,ATL,ATL,1,ATL,0.6855345911949685,-218.0,193.0,0.6855345911949685,0.3412969283276451,4.5,ATL,1,0,1,0,0,4.5,1,1,1
2020_09_DET_MIN,2020,MIN,DET,MIN,MIN,1,MIN,0.6336996336996337,-173.0,155.0,0.6336996336996337,0.392156862745098,3.0,DET,0,1,1,0,0,3.0,1,0,0
2020_09_GB_SF,2020,SF,GB,GB,GB,1,GB,0.7109826589595376,215.0,-246.0,0.3174603174603174,0.7109826589595376,-6.0,GB,0,1,0,1,0,6.0,1,1,1
2020_09_HOU_JAX,2020,JAX,HOU,JAX,HOU,0,HOU,0.7429305912596401,249.0,-289.0,0.2865329512893982,0.7429305912596401,-7.0,JAX,1,0,1,0,0,7.0,1,1,0
2020_09_LV_LAC,2020,LAC,LV,LV,LV,1,LV,0.5283018867924528,102.0,-112.0,0.495049504950495,0.5283018867924528,-1.0,LAC,1,0,0,1,1,1.0,1,0,0
2020_09_MIA_ARI,2020,ARI,MIA,MIA,MIA,1,ARI,0.7067448680351907,-241.0,211.0,0.7067448680351907,0.3215434083601286,6.0,MIA,0,1,0,1,0,6.0,0,1,1
2020_09_NE_NYJ,2020,NYJ,NE,NE,NE,1,NE,0.788135593220339,312.0,-372.0,0.2427184466019417,0.788135593220339,-9.5,NYJ,1,0,0,1,0,9.5,1,0,0
2020_09_NO_TB,2020,TB,NO,NO,NO,1,TB,0.6415770609318996,-179.0,160.0,0.6415770609318996,0.3846153846153846,3.0,TB,1,0,0,1,0,3.0,0,0,0
2020_09_NYG_WAS,2020,WAS,NYG,NYG,NYG,1,WAS,0.6183206106870229,-162.0,145.0,0.6183206106870229,0.4081632653061224,3.0,NYG,0,1,0,1,0,3.0,0,1,1
2020_09_PIT_DAL,2020,DAL,PIT,DAL,PIT,0,PIT,0.8875140607424072,591.0,-789.0,0.1447178002894356,0.8875140607424072,-14.0,PIT,0,1,1,0,0,14.0,1,0,1
2020_09_SEA_BUF,2020,BUF,SEA,BUF,BUF,1,SEA,0.6212121212121212,147.0,-164.0,0.4048582995951417,0.6212121212121212,-3.0,BUF,1,0,1,0,0,3.0,0,1,1
2020_10_BAL_NE,2020,NE,BAL,BAL,NE,0,BAL,0.7607655502392344,272.0,-318.0,0.2688172043010752,0.7607655502392344,-7.0,BAL,0,1,0,1,0,7.0,0,1,0
2020_10_BUF_ARI,2020,ARI,BUF,BUF,ARI,0,ARI,0.6047430830039525,-153.0,138.0,0.6047430830039525,0.4201680672268907,3.0,ARI,1,0,0,1,0,3.0,1,0,1
2020_10_CIN_PIT,2020,PIT,CIN,PIT,PIT,1,PIT,0.7481108312342569,-297.0,255.0,0.7481108312342569,0.2816901408450704,6.5,PIT,1,0,1,0,0,6.5,1,1,1
