game_id,first_td_team_x,td_player_name,play_type,first_td_game_seconds_remaining,first_td_qtr,first_td_quarter_seconds_remaining,season,home_team,away_team,home_score,away_score,winner,home_moneyline,away_moneyline,home_prob,away_prob,favored_team,favored_team_prob,spread_line,opening_possession_team,first_td_team_won,home_got_ball_first,away_got_ball_first,home_scored_first_td,away_scored_first_td,is_pickem,spread_abs,favorite_won,opening_possession_scored_first,opening_possession_won,first_td_minutes_remaining,kalshi_ticker,pregame_home_prob_kalshi,pregame_away_prob_kalshi,first_td_timestamp,first_td_team_y,post_td_home_prob_kalshi,post_td_away_prob_kalshi,prob_change_home,prob_change_away,data_quality_flag,kalshi_vs_vegas_home_diff,kalshi_vs_vegas_away_diff,kalshi_vs_vegas_home_abs_diff,kalshi_vs_vegas_away_abs_diff,kalshi_first_td_impact_home,kalshi_first_td_impact_away,kalshi_total_prob_change,has_kalshi_data,has_complete_kalshi_data,kalshi_era
2020_02_WAS_ARI,ARI,D.Hopkins,pass,3254.0,1.0,554.0,2020,ARI,WAS,30.0,15.0,ARI,-313.0,268.0,0.7578692493946732,0.2717391304347826,ARI,0.7578692493946732,7.5,WAS,1,0,1,1,0,0,7.5,1,0,0,54.23,,,,,,,,,,,,,,,,,,0,0,0
2020_02_BAL_HOU,BAL,P.Ricard,pass,2580.0,2.0,780.0,2020,HOU,BAL,16.0,33.0,BAL,292.0,-344.0,0.2551020408163265,0.7747747747747747,BAL,0.7747747747747747,-7.5,HOU,1,1,0,0,1,0,7.5,1,0,0,43.0,,,,,,,,,,,,,,,,,,0,0,0
2020_02_KC_LAC,LAC,J.Herbert,run,3388.0,1.0,688.0,2020,LAC,KC,20.0,23.0,KC,311.0,-370.0,0.24330900243309,0.7872340425531915,KC,0.7872340425531915,-8.5,LAC,0,1,0,1,0,0,8.5,1,1,0,56.47,,,,,,,,,,,,,,,,,,0,0,0
2020_02_NE_SEA,NE,D.McCourty,pass,3528.0,1.0,828.0,2020,SEA,NE,35.0,30.0,SEA,-199.0,177.0,0.6655518394648829,0.3610108303249097,SEA,0.6655518394648829,4.0,SEA,0,1,0,0,1,0,4.0,1,0,1,58.8,,,,,,,,,,,,,,,,,,0,0,0
2020_02_NO_LV,NO,A.Kamara,run,2935.0,1.0,235.0,2020,LV,NO,34.0,24.0,LV,180.0,-201.0,0.3571428571428571,0.6677740863787376,NO,0.6677740863787376,-4.0,NO,0,0,1,0,1,0,4.0,0,1,0,48.92,,,,,,,,,,,,,,,,,,0,0,0
2020_03_MIA_JAX,MIA,P.Williams,pass,3195.0,1.0,495.0,2020,JAX,MIA,13.0,31.0,MIA,-138.0,124.0,0.5798319327731093,0.4464285714285714,JAX,0.5798319327731093,3.0,MIA,1,0,1,0,1,0,3.0,0,1,1,53.25,,,,,,,,,,,,,,,,,,0,0,0
2020_03_CHI_ATL,ATL,H.Hurst,pass,3289.0,1.0,589.0,2020,ATL,CHI,26.0,30.0,CHI,-135.0,122.0,0.574468085106383,0.4504504504504504,ATL,0.574468085106383,2.5,CHI,0,0,1,1,0,0,2.5,0,0,1,54.82,,,,,,,,,,,,,,,,,,0,0,0
2020_03_LA_BUF,BUF,L.Smith,pass,2806.0,1.0,106.0,2020,BUF,LA,35.0,32.0,BUF,-126.0,114.0,0.5575221238938053,0.4672897196261682,BUF,0.5575221238938053,1.5,BUF,1,1,0,1,0,0,1.5,1,1,1,46.77,,,,,,,,,,,,,,,,,,0,0,0
2020_03_WAS_CLE,WAS,D.Inman,pass,2810.0,1.0,110.0,2020,CLE,WAS,34.0,20.0,CLE,-331.0,282.0,0.7679814385150812,0.2617801047120419,CLE,0.7679814385150812,7.5,CLE,0,1,0,0,1,0,7.5,1,0,1,46.83,,,,,,,,,,,,,,,,,,0,0,0
2020_03_TEN_MIN,MIN,D.Cook,run,2871.0,1.0,171.0,2020,MIN,TEN,30.0,31.0,TEN,139.0,-155.0,0.4184100418410041,0.6078431372549019,TEN,0.6078431372549019,-3.0,TEN,0,0,1,1,0,0,3.0,1,0,1,47.85,,,,,,,,,,,,,,,,,,0,0,0
2020_03_LV_NE,NE,R.Burkhead,pass,1842.0,2.0,42.0,2020,NE,LV,36.0,20.0,NE,-311.0,266.0,0.7566909975669099,0.273224043715847,NE,0.7566909975669099,7.0,NE,1,1,0,1,0,0,7.0,1,1,1,30.7,,,,,,,,,,,,,,,,,,0,0,0
2020_03_SF_NYG,SF,J.McKinnon,run,1873.0,2.0,73.0,2020,NYG,SF,9.0,36.0,SF,134.0,-149.0,0.4273504273504273,0.5983935742971888,SF,0.5983935742971888,-3.0,SF,1,0,1,0,1,0,3.0,1,1,1,31.22,,,,,,,,,,,,,,,,,,0,0,0
2020_03_CIN_PHI,CIN,T.Higgins,pass,1893.0,2.0,93.0,2020,PHI,CIN,23.0,23.0,,-233.0,205.0,0.6996996996996997,0.3278688524590163,PHI,0.6996996996996997,5.5,CIN,0,0,1,0,1,0,5.5,0,1,0,31.55,,,,,,,,,,,,,,,,,,0,0,0
2020_03_HOU_PIT,HOU,R.Cobb,pass,3067.0,1.0,367.0,2020,PIT,HOU,28.0,21.0,PIT,-196.0,174.0,0.6621621621621622,0.364963503649635,PIT,0.6621621621621622,4.0,HOU,0,0,1,0,1,0,4.0,1,1,0,51.12,,,,,,,,,,,,,,,,,,0,0,0
2020_03_NYJ_IND,IND,X.Rhodes,pass,3455.0,1.0,755.0,2020,IND,NYJ,36.0,7.0,IND,-630.0,491.0,0.863013698630137,0.1692047377326565,IND,0.863013698630137,12.5,NYJ,1,0,1,1,0,0,12.5,1,0,0,57.58,,,,,,,,,,,,,,,,,,0,0,0
2020_03_CAR_LAC,LAC,A.Ekeler,run,2662.0,2.0,862.0,2020,LAC,CAR,16.0,21.0,CAR,-265.0,230.0,0.726027397260274,0.303030303030303,LAC,0.726027397260274,6.0,CAR,0,0,1,1,0,0,6.0,0,0,1,44.37,,,,,,,,,,,,,,,,,,0,0,0
2020_03_DET_ARI,ARI,A.Isabella,pass,2720.0,1.0,20.0,2020,ARI,DET,23.0,26.0,DET,-218.0,193.0,0.6855345911949685,0.3412969283276451,ARI,0.6855345911949685,4.5,DET,0,0,1,1,0,0,4.5,0,0,1,45.33,,,,,,,,,,,,,,,,,,0,0,0
2020_03_TB_DEN,TB,C.Godwin,pass,3304.0,1.0,604.0,2020,DEN,TB,10.0,28.0,TB,230.0,-264.0,0.303030303030303,0.7252747252747253,TB,0.7252747252747253,-6.0,DEN,1,1,0,0,1,0,6.0,1,0,0,55.07,,,,,,,,,,,,,,,,,,0,0,0
2020_03_DAL_SEA,SEA,T.Lockett,pass,3106.0,1.0,406.0,2020,SEA,DAL,38.0,31.0,SEA,-237.0,208.0,0.7032640949554896,0.3246753246753247,SEA,0.7032640949554896,5.5,SEA,1,1,0,1,0,0,5.5,1,1,1,51.77,,,,,,,,,,,,,,,,,,0,0,0
2020_03_GB_NO,NO,A.Kamara,pass,3015.0,1.0,315.0,2020,NO,GB,30.0,37.0,GB,-172.0,154.0,0.6323529411764706,0.3937007874015748,NO,0.6323529411764706,3.5,NO,0,1,0,1,0,0,3.5,0,1,0,50.25,,,,,,,,,,,,,,,,,,0,0,0
2020_03_KC_BAL,KC,P.Mahomes,run,3108.0,1.0,408.0,2020,BAL,KC,20.0,34.0,KC,-174.0,156.0,0.635036496350365,0.390625,BAL,0.635036496350365,3.5,BAL,1,1,0,0,1,0,3.5,0,0,0,51.8,,,,,,,,,,,,,,,,,,0,0,0
2020_04_DEN_NYJ,NYJ,S.Darnold,run,3397.0,1.0,697.0,2020,NYJ,DEN,28.0,37.0,DEN,-114.0,104.0,0.5327102803738317,0.4901960784313725,NYJ,0.5327102803738317,1.0,NYJ,0,1,0,1,0,1,1.0,0,1,0,56.62,,,,,,,,,,,,,,,,,,0,0,0
2020_04_ARI_CAR,CAR,M.Davis,run,3145.0,1.0,445.0,2020,CAR,ARI,31.0,21.0,CAR,141.0,-157.0,0.4149377593360996,0.6108949416342413,ARI,0.6108949416342413,-3.0,ARI,1,0,1,1,0,0,3.0,0,0,0,52.42,,,,,,,,,,,,,,,,,,0,0,0
2020_04_JAX_CIN,JAX,D.Chark Jr.,pass,2727.0,1.0,27.0,2020,CIN,JAX,33.0,25.0,CIN,-112.0,101.0,0.5283018867924528,0.4975124378109453,CIN,0.5283018867924528,1.0,JAX,0,0,1,0,1,1,1.0,1,1,0,45.45,,,,,,,,,,,,,,,,,,0,0,0
2020_04_CLE_DAL,CLE,O.Beckham,pass,3441.0,1.0,741.0,2020,DAL,CLE,38.0,49.0,CLE,-175.0,157.0,0.6363636363636364,0.3891050583657587,DAL,0.6363636363636364,3.5,DAL,1,1,0,0,1,0,3.5,0,0,0,57.35,,,,,,,,,,,,,,,,,,0,0,0
2020_04_NO_DET,DET,D.Swift,pass,3422.0,1.0,722.0,2020,DET,NO,29.0,35.0,NO,139.0,-155.0,0.4184100418410041,0.6078431372549019,NO,0.6078431372549019,-3.0,DET,0,1,0,1,0,0,3.0,1,1,0,57.03,,,,,,,,,,,,,,,,,,0,0,0
2020_04_MIN_HOU,MIN,D.Cook,run,3011.0,1.0,311.0,2020,HOU,MIN,23.0,31.0,MIN,-172.0,154.0,0.6323529411764706,0.3937007874015748,HOU,0.6323529411764706,3.5,HOU,1,1,0,0,1,0,3.5,0,0,0,50.18,,,,,,,,,,,,,,,,,,0,0,0
2020_04_SEA_MIA,SEA,C.Carson,run,3305.0,1.0,605.0,2020,MIA,SEA,23.0,31.0,SEA,196.0,-223.0,0.3378378378378378,0.6904024767801857,SEA,0.6904024767801857,-4.5,MIA,1,1,0,0,1,0,4.5,1,0,0,55.08,,,,,,,,,,,,,,,,,,0,0,0
