game_id,first_td_real_timestamp
2022_07_PIT_MIA,2022-10-24T00:31:04Z
2022_07_SEA_LAC,2022-10-23T20:48:37Z
2022_07_TB_CAR,2022-10-23T18:06:58Z
2022_08_ARI_MIN,2022-10-30T17:10:06.353Z
2022_08_BAL_TB,2022-10-28T00:31:42Z
2022_08_CAR_ATL,2022-10-30T17:49:12Z
2022_08_CHI_DAL,2022-10-30T17:08:52Z
2022_08_CIN_CLE,2022-11-01T01:11:52Z
2022_08_DEN_JAX,2022-10-30T13:45:34Z
2022_08_GB_BUF,2022-10-31T00:41:35Z
2022_08_LV_NO,2022-10-30T17:27:46Z
2022_08_MIA_DET,2022-10-30T17:06:20Z
2022_08_NE_NYJ,2022-10-30T17:38:31Z
2022_08_NYG_SEA,2022-10-30T21:14:50Z
2022_08_PIT_PHI,2022-10-30T17:10:29Z
2022_08_SF_LA,2022-10-30T20:50:42Z
2022_08_TEN_HOU,2022-10-30T21:10:35Z
2022_08_WAS_IND,2022-10-30T21:03:06Z
2022_09_BAL_NO,2022-11-08T01:41:59.510Z
2022_09_BUF_NYJ,2022-11-06T18:24:37Z
2022_09_CAR_CIN,2022-11-06T18:08:43.523Z
2022_09_GB_DET,2022-11-06T19:17:54Z
2022_09_IND_NE,2022-11-06T19:01:53Z
2022_09_LAC_ATL,2022-11-06T18:07:59Z
2022_09_LA_TB,2022-11-06T22:06:50Z
2022_09_LV_JAX,2022-11-06T18:22:50Z
2022_09_MIA_CHI,2022-11-06T18:18:21Z
2022_09_MIN_WAS,2022-11-06T18:09:13Z
2022_09_PHI_HOU,2022-11-04T00:21:54Z
2022_09_SEA_ARI,2022-11-06T21:21:11Z
2022_09_TEN_KC,2022-11-07T01:55:42.587Z
2022_10_ARI_LA,2022-11-13T22:31:24Z
2022_10_ATL_CAR,2022-11-11T02:10:44Z
2022_10_CLE_MIA,2022-11-13T18:07:43Z
2022_10_DAL_GB,2022-11-13T22:05:01Z
2022_10_DEN_TEN,2022-11-13T19:03:34Z
2022_10_DET_CHI,2022-11-13T18:46:46Z
2022_10_HOU_NYG,2022-11-13T18:12:51Z
2022_10_IND_LV,2022-11-13T21:30:38Z
2022_10_JAX_KC,2022-11-13T18:27:26Z
2022_10_LAC_SF,2022-11-14T01:27:00.770Z
2022_10_MIN_BUF,2022-11-13T18:11:40Z
2022_10_NO_PIT,2022-11-13T18:22:48Z
2022_10_SEA_TB,2022-11-13T15:07:10Z
2022_10_WAS_PHI,2022-11-15T01:21:32Z
2022_11_CAR_BAL,2022-11-20T20:46:58.947Z
2022_11_CHI_ATL,2022-11-20T18:09:42.793Z
2022_11_CIN_PIT,2022-11-20T21:56:43Z
2022_11_CLE_BUF,2022-11-20T18:09:00Z
2022_11_DAL_MIN,2022-11-20T21:53:28Z
2022_11_DET_NYG,2022-11-20T18:23:21Z
2022_11_KC_LAC,2022-11-21T01:34:31Z
2022_11_LA_NO,2022-11-20T18:26:31Z
2022_11_LV_DEN,2022-11-20T21:27:24Z
2022_11_NYJ_NE,2022-11-20T21:05:03Z
2022_11_PHI_IND,2022-11-20T18:09:35Z
2022_11_SF_ARI,2022-11-22T01:56:53Z
2022_11_TEN_GB,2022-11-18T01:21:33Z
2022_11_WAS_HOU,2022-11-20T18:06:44.083Z
2022_12_ATL_WAS,2022-11-27T18:18:08Z
2022_12_BAL_JAX,2022-11-27T19:20:30Z
2022_12_BUF_DET,2022-11-24T17:52:38Z
2022_12_CHI_NYJ,2022-11-27T18:09:40Z
2022_12_CIN_TEN,2022-11-27T18:56:25Z
2022_12_DEN_CAR,2022-11-27T18:30:19Z
2022_12_GB_PHI,2022-11-28T01:29:45.170Z
2022_12_HOU_MIA,2022-11-27T18:26:27.787Z
2022_12_LAC_ARI,2022-11-27T21:29:29.207Z
2022_12_LA_KC,2022-11-27T21:50:03.907Z
2022_12_LV_SEA,2022-11-27T21:08:04Z
2022_12_NE_MIN,2022-11-25T01:29:41Z
2022_12_NO_SF,2022-11-27T22:48:50.593Z
2022_12_NYG_DAL,2022-11-24T22:15:12Z
2022_12_PIT_IND,2022-11-29T02:05:52Z
2022_12_TB_CLE,2022-11-27T18:08:23Z
2022_13_BUF_NE,2022-12-02T01:34:06Z
2022_13_CLE_HOU,2022-12-04T19:15:18Z
2022_13_DEN_BAL,2022-12-04T20:52:35Z
2022_13_GB_CHI,2022-12-04T18:27:32.787Z
2022_13_IND_DAL,2022-12-05T01:39:55.437Z
2022_13_JAX_DET,2022-12-04T18:09:03Z
2022_13_KC_CIN,2022-12-04T21:32:35Z
2022_13_LAC_LV,2022-12-04T21:47:36Z
2022_13_MIA_SF,2022-12-04T21:06:10Z
2022_13_NO_TB,2022-12-06T02:02:39Z
2022_13_NYJ_MIN,2022-12-04T18:49:21Z
2022_13_PIT_ATL,2022-12-04T18:57:33Z
2022_13_SEA_LA,2022-12-04T21:12:26Z
2022_13_TEN_PHI,2022-12-04T18:08:41.647Z
2022_13_WAS_NYG,2022-12-04T18:25:02Z
2022_14_BAL_PIT,2022-12-11T18:32:02Z
2022_14_CAR_SEA,2022-12-11T21:40:55Z
2022_14_CLE_CIN,2022-12-11T19:00:13Z
2022_14_HOU_DAL,2022-12-11T18:11:29Z
2022_14_JAX_TEN,2022-12-11T18:13:22Z
2022_14_KC_DEN,2022-12-11T21:43:12Z
2022_14_LV_LA,2022-12-09T01:26:47Z
2022_14_MIA_LAC,2022-12-12T02:09:23Z
2022_14_MIN_DET,2022-12-11T18:15:04.960Z
2022_14_NE_ARI,2022-12-13T02:07:36Z
2022_14_NYJ_BUF,2022-12-11T19:23:53.437Z
2022_14_PHI_NYG,2022-12-11T18:18:48.263Z
2022_14_TB_SF,2022-12-11T21:30:00Z
2022_15_ARI_DEN,2022-12-18T23:06:31Z
2022_15_ATL_NO,2022-12-18T18:09:09.290Z
2022_15_BAL_CLE,2022-12-17T23:28:28Z
2022_15_CIN_TB,2022-12-18T22:05:29Z
2022_15_DAL_JAX,2022-12-18T18:21:41Z
2022_15_DET_NYJ,2022-12-18T18:17:26Z
2022_15_IND_MIN,2022-12-17T18:17:04Z
2022_15_KC_HOU,2022-12-18T18:33:53Z
2022_15_LA_GB,2022-12-20T02:10:34Z
2022_15_MIA_BUF,2022-12-18T01:47:44Z
2022_15_NE_LV,2022-12-18T22:03:18Z
